# 126개 기업 명단 (기업명 | 투자자 | 단계 | 금액)

1. 이노션스 | 알토스벤처스 등 | 시리즈A | 142억원
2. 모바투스 | 칼머투자파트너스 | 시리즈A | 70억원
3. 오픈마일 | 어노스트-신명페이머 투자전문회사 | 프리IPO | 50억원
4. 엘리사젠 | 대원래파트너스-NHF투자증권 | 시리즈C | 50억원
5. 로카101 | 플스타이블랜스 | 프리A | 10억원
6. 르몽 | 디펀즈밸류텐트벤처스 | 프리A | 10억원
7. 소프트웨어융합연구소 | 오리첫-바텍자시녀펀드 | 시드 | 3억원
8. 모프시스템즈 | 매자일엔터스 500글로벌 | 시드 | 비공개
9. 두리컴퍼니 | 디펀즈 | 시드 | 비공개
10. 팩타고라 | 플로디 엠 플로이 | 시드 | 비공개
11. 트래드스나 | 스타트스타디멘선스 | 프리A | 비공개
12. 큐투켓 | 제주창조경제혁신센터 | 시드 | 비공개
13. 레오스페이스 | AP비저션 | 프리A | 비공개
14. 디디덴웰케어 | 엘엔이스캐피탈 바테리멘처스 서울대벤처펠로우솔자주 | 시드 | 비공개
15. 핵사후면케어 | 명지 | 시리즈C | 비공개
16. 수앤케릿즈 | 강기서편 | 시드 | 비공개
17. 에이샌택 | 제이앤벤코엔탈 | 시드 | 비공개
18. 오픈웨딩 | 알토블루라 | 시드 | 비공개
19. 엔포러스 | 블루포인트파트너스 | 시드 | 비공개
20. 모놀리 | 스톱브랜드멘선스 LF2벤스토렌트 오디업커머털 아사이뮤즈(Asia2G) | 프리A | 비공개
21. PGT | 동화엔트로타이밀트 | 시리즈E | 비공개
22. 스튜디오에피소드 | 케이스튜프 | M&A | -
23. SDT | 프랙시스게임필라텐스 NH투자증권 | 프리IPO | 300억원
24. 부스티스 | SBI넥쌍홈보틀바 | 시리즈C | 200억원
25. 에이디에스 | 스마일캐이탈엔테르트뤼즈 알토스벤처스 한국신용은행 | 프리A | 100억원
26. 컨트로펙스 | 블루바스엘릭스토렌트 애노스벤처스 케이어사버투지펜드텐스 | 시리즈B | 85억원
27. 신소재프레제조 | 한국투자파트너스 언라이트벤처스 트렌스정코뱅스토렌트 | 시리즈B | 82억원
