기업명,주요사업,투자자,단계,신규,주차,뉴스URL,뉴스소스
덱산스튜디오,MMORPG 전문 개발사,NC소프트,시드,비공개,4주차,,
Legion Health,비대면 정신건강 플랫폼,지디벤처스,프리A,비공개,4주차,,
아이씨피,건설플랜 솔루션 기업,오파스트란아이라워티,M&A,-,4주차,,
한양로보틱스,로봇 자동화 전문기업,나우로보틱스,M&A,-,4주차,,
크래온유니티,금융권 정보기술(IT) 유통통합 유지보수 전문기업,IBK캐피탈자,시리즈A,300억원,3주차,,
엔라이트,애그지 기술테크 기업,털털타이나셔선응,시리즈C,300억원,3주차,,
아이디어스투실리콘,시스템반도체 설계기업,HGI,시리즈A,180억원,3주차,,
한국던난님,공공기업용 시각지능 AI 솔루션 기업,트렐스타글로벌스토렌트 SV2벤스토렌트,시리즈A,120억원,3주차,,
SML메디트리,임상시험 감체보직 전문기업,유투비아오,,-,63억원,,
에나이어,로봇거선 스타트업,신라은행,프리A,50억원,3주차,,
워드로인즈,모듈형 로봇 자동화 플랫폼 운영사,슈처블리어 취태선스 은엔전보자연구센터(캄단) 등,프리A,40억원,3주차,,
오믹스AI,정밀의료 AI데이터 전문기업,온코그로스,시드,20억원,3주차,,
아이슬,AI 로봇 스타트업,오디캘앤자주,시리즈A,20억원,3주차,,
팸,하이브리드 개국영 게임 개발사,크랩밴처스,시드,10억원,3주차,,
리보다스,소프트 웨어리보 로봇 스타트업,배어스벤처스,시드,5억원,3주차,,
큐슬루션즈,서플로타칭(AloT) 기반 맞춤형 실내환경 지솔제어 기술 기업,한국과학기솔지주,시드,2억원,3주차,,
엠피지오웰니스,바침용 메디컬 뒤퍼 기업,케어투드스터 SAP-YNA 개민주자요제목,시드,1억원,3주차,,
업맥당,스트비어 프리사이즈,케어투드스터 SAP-YNA 개민주자요제목,프리A,비공개,3주차,,
랭인큐브,MOF 기반 소재 개발사,메타버아이오엔드,시리즈A,비공개,3주차,,
애플에이아이,의료 AI 스타트업,광림벤처스,시드,비공개,3주차,,
커버사먼,라이프스타일 테크 기업,인트텐스트,시리즈A,비공개,3주차,,
애이뉴프로덕션,XR바우집 기술을 접목한 가육무지협 닥터 무리를 게임사,서엔테크탬,시드,비공개,3주차,,
매머드커퍼,중자기 커퍼 프랜차이즈,오엘스타글로벌아이라워티,M&A,-,3주차,,
라이드플러스,자율주행 무인의 전앤 기업,에어타츠영벤스토렌트 신라은행,프리IPO,200억원,2주차,,
어니스티,국내 안공지능(AI) 기반 은리인투자지언 플랫폼 기업,이토동,시리즈C,144억원,2주차,,
아롤바이오,장기지속형 플랫폼 기업,메디자지영벤스토렌트 IBK개민탐,시리즈C,112억원,2주차,,
팡세,세프피앤욕 스타트업,액스웨어트 언라이트벤처스 농촌진흥 나이스투자 피트너스 바이어바트너스 키로스필드자주,시리즈A,65억원,2주차,,
로블루션,산언응용 로봇 및 재조공장사,광림벤처자 코강파트너스,프리A,20억원,2주차,,
공감오픈텐트,개인전문 AI 개발 솔루션 제공사,스타트스터디멘선스,시드,3억원,2주차,,
바이오점,AI 헬스케어 기업,NH농협은행 나이스투자파트너스 신보앤텐자주,시리즈A,비공개,2주차,,
신군,건설 빅데이터 플랫폼 산업의약국 운영사,탠태투자파트너스 에이저지어(나태터바HOI) 미국 게 VC(엔린가먼말) 스트립랜텐스,시리즈A,비공개,2주차,,
