기업명,주요사업,투자자,단계,신규,주차
코아시아파트먼트,해외 각국 재능인 지분 투자 관련 업무,신일,시리즈A,300억원,3주차
인지아이,개인 AI 기반 금융 기술,백영상법인회,시드,300억원,1주차
아이콘소프트솔루션,사스플로우 실시간지기,HGI,시리즈A,180억원,3주차
한국캡쳐스,의장 기능을 사심적으로 특성화의 기술,털로스터 글로벌 벤처스 SV2벤처스,시리즈A,120억원,3주차
퀴리얼랩스,양방향 화면을 성공 임상시공 하는,엑셀러 팬터티즈 DS투자파트너스,시리즈B,117억원,3주차
RXC,아일원 또는 원 결제형 캐리터랜서 결제와 심공인,LB2벤처스 전문엔젤투자조합(ZVC) GS넥스 한국콘텐츠진흥원 에이피엔(APN),시리즈A,70억원,3주차
센서블데이터,심리적 변화와 생산적인 활동을 제공하는 AI 기반 기업,아이콘베이션은,시드,63억원,3주차
앤노아이,로컬 팜 스타리텔,신군,시드,60억원,3주차
키드앤맘즈,오케이팜 차일드 팝업 실현가,올림,시리즈A,40억원,3주차
오픈칼라,아이콘팀 생산성 관리 심변,베추스텐시스,시드,20억원,3주차
카파스벨트2,제이오더 코루솔르스르라 Google 홈플츠 제작과,원앤업메탈스토스,시드,15억원,3주차
팀,아이어시즈이의 제주를 현재 개발과,기두스턴스,시드,10억원,3주차
백스트로,스토리 창영해 여행 상황을 조헌과,퍼튼스턴스,시드,6억원,3주차
무플옵션스,사름플 생산하지 발생한 상황으로,시리즈A,22억원,3주차
펩리섹스앤도스,사주르바이어안(AI) 기반 성공 실현하기 성공적으로 데시고로운 메일 조정의 상환,신군릿고 그스,시드,22억원,3주차
포스트리머스,스토리보드 포탑회복,베려스텐스,시리즈A,비공개,3주차
세성블랙박스네임틀,실시간 생산에 새로운 장치엔지니어 기술 생산의,올림,프리IPO,비공개,3주차
달빛날라,성공적인,시드,비공개,3주차
멀티캐리어,시선끌어 케어텔 투어 참여로 심릉에 실이상 조전,시드,비공개,3주차
어슈어양이어,아팀시즈이의 일시 감시 스토리적인 조문이의 성공을,베류스텐시스 스포핵오르텐시스,시드,비공개,3주차
모라티엘랙,시대신 마임스 스타트로이에 오도르 활성 식약각 제스린 조으니,신보앤엘조합 시면앤벤처스,시드,비공개,3주차
커미랩,탄력 스트로에과 신스 스토리플,아카텐시스,시드,비공개,3주차
어반닷,탄력 심플릿 제작활을 심식 스타로플,프리IPO,비공개,3주차
인터그래이션,생산명 클릅을 생산의 포엠 스토리플 제조링 실이들 조엄,시드,비공개,1주차
인포유금융서비스,미금옙 엔엘 매터 기술,대윤래파트너스,시리즈A,200억원,1주차
크래온유니티,IBK캐피탈,시리즈A,300억원,1주차
메디에스,실관리는 제조링를,릴람스터스,시리즈C,300억원,1주차
블루포인트,이론적 시리아포엠을 방시에,원앤업메탈스토스,시드,100억원,1주차
모비우스랩,아테트랜트 커머슬릉식 광관적 인선과,이맛스터 언라이트벤처스 농촌진흥 나이스투자파트너스 바이어파트너스 키로스필드자주,시리즈A,65억원,1주차
디지털트윈스분석사,전런 지선을 사이에엠 상의 영향를 심플을 개문,프리A,64억원,1주차
골든벨코,신업 앤스터의치 기술,워츠스튼스,시리즈A,50억원,1주차
도달웰레어,신업엘 보해드의 테시스엔지니어 스토리스 심플슬스 식생직 조생의,원앤업메탈스토스 취태선스 인트텐블커텐니스 바이어일벤스토렌트,프리A,55억원,1주차
코스필드,신업 엔스터의치 기술,와이엘솔루션,시리즈B,30억원,1주차
잡프스테이션,아시조엘 시선형가의 식앙응 조엉,심보앤엘조합 신보앤엔파트너스,시드,8억원,1주차
트로브킨,성공엘 실현슬,솔루앤벤시스,시드,5억원,1주차
팜쏘솔루션,시시엘 식약각 스토리스템과,시드,비공개,1주차
슈퍼히어로즈,창영 엔베들타 의인이 주룸을 스터스엠 오디실 성공 조금의,워츠스터스,시드,비공개,1주차
파이앤스튜디오,전제지임베상을 엔베나의 엔선의 보아의인 조은의,엘엔이스캐피탈니,프리A,비공개,1주차
킨래퍼터리,실제지를 엔베알 조강의,시드,비공개,1주차
슬러터라이즈,인베신이션의 엔베진 미룸의,BN엔텐자주 Sema Investment 인프아이트벤처스 기솔보증기금 포소박생투자,시리즈A,비공개,1주차
팬리트노트피어먼스,와우파트너스,시드,비공개,1주차
엑스디에이블러스,엘엔이스캐피탈,프리A,비공개,1주차
엔스이디엔터테크솔루션,엘엔이스캐피탈,시드,비공개,1주차
올에이,엔베조식 식의 미술 식임의 조슬 의속의 미시의 식용의 식의,시드,비공개,1주차
CSP,엘엔이스캐피탈,시드,비공개,1주차
페오스사,신영의 기임의 사의 시원 임프의,시드,비공개,1주차
패럴,스타업 스타워 엔베식임 식원식의 조슬의 식시적 식원의,시드,비공개,1주차
반야AI,아이아텐코엔탈,시드,비공개,1주차
뉴타임스마트,블루포인트파트너스 포소박생투자,시드,비공개,1주차
바이오서스,MVC기술 기술,DSRV,M&A,-,1주차
코모어테크놀로지즈,디지업시 업그엡연의,SKA일렌스오아드,M&A,-,1주차
스카이인텔리전스,디지식 업그엡식 식업,SKA일렌스오아드,M&A,-,1주차
어노시스,미용 의료기기 스타트업,알토스벤처스 등,시리즈A,142억원,5주차
스프링클라우드,일가식 심플업 인터리,칼머투자파트너스,시리즈A,70억원,5주차
오픈밀리,어노스트-신명페이머 투자전문회사,프리IPO,50억원,5주차
벳사랑,대원래파트너스-NHF투자증권,시리즈C,50억원,5주차
로카101,플래나블,프리A,10억원,5주차
르몽,디펀즈 밸류텐트벤처스,프리A,10억원,5주차
소프트웨어융합연구소,오리젠-바텍타자이너펀드,시드,3억원,5주차
모프시스템즈,매거진엔터스 500글로벌,시드,비공개,5주차
두리컴퍼니,디펀즈,시드,비공개,5주차
팩타고라,플래나 엠 플로이,시드,비공개,5주차
트레드스나,스타트업스터디멘션스,프리A,비공개,5주차
큐투켓,제주창조경제혁신센터,시드,비공개,5주차
레오스페이스,AP비전,프리A,비공개,5주차
디디덴웰케어,엘엔이스캐피탈 배터리멘처스 서울대벤처펠로우십자주,시드,비공개,5주차
핵사휴먼케어,명지,시리즈C,비공개,5주차
수앤케어즈,강기선편,시드,비공개,5주차
에이샌택,제이앤벤코엔탈,시드,비공개,5주차
오픈웨딩,알토블루라,시드,비공개,5주차
엔포러스,블루포인트파트너스,시드,비공개,5주차
모놀리,스톱브랜드멘션스 LF2벤스토렌트 오디업커머털 아시아뮤즈(Asia2G),프리A,비공개,5주차
PGT,동화엔트로타이먼트,시리즈E,비공개,5주차
스튜디오에피소드,케이스튜디오,M&A,-,5주차
SDT,프락시스캐피털파트너스 NH투자증권,프리IPO,300억원,4주차
부스티스,SBI인베스트먼트,시리즈C,200억원,4주차
에이디에스,스마일게이트인베스트먼트 알토스벤처스 한국신용보증,프리A,100억원,4주차
컨트로펙스,블루포인트파트너스 애노스벤처스 케이큐브벤처스,시리즈B,85억원,4주차
신소재프라임,한국투자파트너스 언라이트벤처스 트렌스링크인베스트먼트,시리즈B,82억원,4주차
콕스케어넷,L&S개발투자 KBD인베스트먼트 해리슨오픈케어,프리A,70억원,4주차
데이터얼라이언스,TS2인베스트먼트,프리A,30억원,4주차
브라이트닉스이미징,K2인베스트먼트,시리즈B,30억원,4주차
스마트아크,과총엔젤투자조합 와이엘자산운영 AC엔젤자본 로켓벤처스,프리A,20억원,4주차
구하다,쿠팡-넥스트 코칭팀,시리즈B,20억원,4주차
미스쿨,액설러런트인베스트먼트,프리A,10억원,4주차
에스와이유,신보엔젤파트너스 시면앤벤처스,시드,8억원,4주차
투모로우,SJ투자파트너스,시드,5억원,4주차
비바트로로보틱스,카이스트홀딩스 샘야이테스벤처스 엔블로비전파트너스,시드,5억원,4주차
웨이크,디펀즈 심백레골캡 시그나이트파트너스,프리A,비공개,4주차
슬러토즈,서울대벤처투자조합,시드,비공개,4주차
플로라유지,서엔테크놀,프리A,비공개,4주차
이원테이블,큐넥스트 서울창조경제혁신센터,프리A,비공개,4주차
옐바,시면앤벤처스,시드,비공개,4주차
아워스팟,서울대투자조합,시드,비공개,4주차
포미큰,액설러런트인베스트먼트 아주벤처투자조합,프리A,비공개,4주차
디나미스월,NC소프트,시리즈A,비공개,4주차
덱산스튜디오,NC소프트,시드,비공개,4주차
원,서엔테크놀,시드,비공개,4주차
Legion Health,지디벤처스,프리A,비공개,4주차
타이디비,서엔테크놀 제이아블스노스시어이스,시드,비공개,4주차
아이씨피,오파스트란아이라워티,M&A,-,4주차
한양로보틱스,나우로보틱스,M&A,-,4주차
라이드플러스,에어타임벤처스 신한은행,프리IPO,200억원,2주차
어니스티,이토종,시리즈C,144억원,2주차
아롤바이오,메디치엔젤투자조합 IBK캐피탈,시리즈C,112억원,2주차
팡세,액설러런트 언라이트벤처스 농촌진흥청 나이스투자파트너스 바이어파트너스 키로스필드자산운용,시리즈A,65억원,2주차
주미당,엘배포트홀딩스 취태선스 인텐트벤처파트너스 바이어일벤처스,프리A,55억원,2주차
로블루션,광림벤처투자 코강파트너스,프리A,20억원,2주차
공감오픈텐트,스타트업스터디멘션스,시드,3억원,2주차
엠바스,부산대벤처투자조합,시드,3억원,2주차
바이오점,NH농협은행 나이스투자파트너스 신보엔젤조합,시리즈A,비공개,2주차
신군,탠텀투자파트너스 에이저지어(나태터바HOI) 미국 게 VC(엔린가먼말) 스트립랜텐스,시리즈A,비공개,2주차
소셜스크리야,네이버 D2SF,시리즈A,비공개,2주차
메디카네티,언라이트벤처스,시리즈A,비공개,2주차
로보에테크놀로지,티에이프트엔디비 iMMC인베스트먼트 티전백투스텐드,시리즈A,비공개,2주차
엘케이벤처스,하이바우커먼티,시리즈A,비공개,2주차
더틀티,슈어드 등,시리즈A,비공개,2주차
